ID,English,Kashmiri
2267,He was wearing a decent dress.,تٔمِس اوس جان پۄشاک لٲگِتھ۔
2269,The judge has to decide the case tomorrow.,ججس چُھ پگاہ مُقدِمُک فٲصلہٕ دیُن۔
2270,She decided that she will quit the job.,تٔمۍ کٔوٚر صٔحی زِ سۄ ترٛاوِ نوکری۔
2271,He quotes from decided cases.,سُہ چُھ حل کرنہٕ آمتیٚن مُقدِمن ہُنٛد حوالہٕ دِوان۔
2272,The results differed only in decimals.,نٔتیٖجن منٛز ٲس صِرِف اعشارِیاہن ہِنٛز فرق۔
2273,Can you decipher his handwriting?,ژٕ ہٮ۪ککھٕ تٔمۍ سٕنٛز لِکھٲے پٔرِتھ؟
2274,We should take the decision before the officer arrives.,اسہِ پزِ افسر سٕنٛدِ یِنہٕ برٛونٛہہ فٲصلہٕ نیُن۔
2275,He made a big decision before he left for the office.,دفتر نیرنہٕ برٛونٛہہ نیٛوو تٔمۍ اکھ بوٚڈ فٲصلہٕ۔
2276,She played a decisive role in negotiations.,تٔمۍ کوٚر کتھ باتھِ منٛز اکھ اہم کِردار ادا۔
2278,We sat on deck until it was dark.,انہِ گوٚٹ گژھنس تانۍ ٲسۍ أسۍ جہاز کِس تختس پیٚٹھ بِہِت۔
2279,The deck of the bus was crowded.,بسہِ ہُنٛد چھت اوس لُکو سۭتۍ بٔرِتھ۔
2280,Could you bring us a deck of cards?,تُہۍ ہیٚکوٕ سانہٕ خٲطرٕ تاسہٕ پتہٕ أنِتھ؟
2281,The cassette got stucked in the deck.,کیسَٹ گوٚو ڈٮ۪کَس انٛدر بنٛد۔
2282,She decked her up nicely for the party.,تٔمۍ پٲرٲو سۄ سالہٕ خٲطرٕ اصٕل پٲٹھۍ۔
2283,The was no declaration about his arrival.,تٔمۍ سٕنٛدِ یِنٕچ ٲس نہٕ کانٛہہ تہِ باوتھ۔
2284,They will sign the declaration tomorrow.,تِم کرن پگاہ اِقرار نامس دستخط۔
2285,He has to declare their marriage soon.,تٔمِس چُھ جلدی تِہنٛدِ خانٛدرُک اعلان کرُن۔
2286,One country declared war on another.,أکۍ مُلکن کوٚر بیٚیِس مُلکس پٮ۪ٹھ جنٛگُک اعلان۔
2287,The captain will declare his team later.,کپتان کرِ پتہٕ پنٕنۍ ٹیٖم ظٲہِر۔
2288,He might decline this offer.,سُہ ہیٚکہِ یتھ پیشکشہِ نکار کٔرِتھ۔
2289,She met with an accident in the declining years of her life.,سۄ گٔیہٕ پنٛنہِ زِنٛدگی ہِنٛدٮ۪ن پٔتِمٮ۪ن ؤرِین منٛز حٲدِثٕچ شِکار۔
2290,There was a huge decline in the sale of the goods.,مال کِس کٕنٛنس منٛز آیہٕ سٮ۪ٹھا گِراوٹ۔
2291,The process of decomposition of plants has started.,کُلۍ کٹیٚن ہِنٛدِ ہۄژنٕچ عمل چھےٚ شُروع گٔمٕژ۔
2292,She has come to decorate the bride.,سۄ چھےٚ مہریٚنہِ پٲراونہِ آمٕژ۔
2294,The boy was decorated with medals for his service.,لٔڑکہٕ آو پنٛنہِ خٕدمتہٕ خٲطرٕ تمگہٕ سۭتۍ نوازنہٕ۔
2295,The intensity of heat has decreased now.,وٕشنیرٕچ شِدت چھےٚ وۄنۍ کم گٔمٕژ۔
2297,A decrease was noted in the crime.,جُرمہٕ منٛز آیہِ کمی لبنہٕ۔
2298,She dedicated the book to her mother.,تمہِ کٔر کتاب ماجہِ ہِؔنٛدِ ناوٕ۔
2299,He is a dedicated scholar.,سُہ چُھ اکھ پابنٛد عٲلِم۔
2300,The priest was amazed by the dedication of the disciple.,پادٕرۍ گوٚو چیلہٕ سٕنٛز سرشٲری وُچھِتھ حٲران۔
2301,He deems it a great honour to be invited for the meeting.,اِجلاس خٲطرٕ دعوت دِنس چُھ سُہ سیٚٹھا احتِرام سمجان۔
2302,She took out water from a deep well.,تمہِ کوٚڈ اکہِ سرٛنہِ کیٖرِ منٛزٕ آب۔
2303,His remarks have deep meanings.,تٔمۍ سٕنٛزن کتھن چُھ سنٛجیٖدٕ معنی۔
2304,His involvement in the affair was very deep.,اتھ مسلس منٛز ٲس تٔمۍ سٕنٛز شموٗلیت سیٚٹھا زیادٕ۔
2305,He was deep asleep when Ram came.,سُہ اوس مس نیٚندرِ منٛز ییٚلہِ رام آو۔
2306,He is deeply interested in religious matters.,سُہ چُھ مذہبی معاملن منٛز سنٛجیٖدگی سان دِلچسپی تھاوان
2308,Our team was defeated in the match.,سانہِ ٹیٖمہِ آیہِ میچس منٛز شِکست دِنہٕ۔
2309,He was defeated in the arguments.,تٔمۍ اوس بحژس منٛز ہورمُت۔
2310,That was a humiliating defeat.,یہِ ٲس اکھ رُسوٲیی واجیٚنۍ ناکٲمی۔
2311,They fought for the defence of the country.,تِمو لوٚڈ ملکہٕ کہِ حفاظتہٕ خٲطرٕ۔
2312,He had nothing to say for his defence.,تٔمِس اوس نہٕ پنٛنِس بچاوس منٛز ونٛنہٕ خٲطرٕ کِہیٖن تہِ۔
2314,He defended himself with an umbrella.,تٔمۍ بچوو پنُن پان چٔھترِ سۭتۍ۔
2315,She defended herself from the attack.,تٔمۍ کوٚر پنٛنِس پانس حملہٕ نِش بچاو۔
2316,He has to defend himself as a captain.,تٔمِس چُھ پنُن پان بطورِ کپتان برقرار تھاوُن۔
2318,These are purely defensive measures.,یِم چھِ بِلکُل بچٲوی اِقدامات۔
2319,He faced a deficit after switching to the new work.,نوِ کامہِ پٮ۪ٹھ گژھنہٕ پتہٕ گوٚو تٔمِس گاٹہٕ۔
2320,I will define all the topics.,بہٕ وٮ۪ژھناوٕ سٲری موضوٗع۔
2321,These categories are not well defined.,یِم درجہٕ بٔنٛدِیہِ چھےٚ نہٕ جان پٲٹھۍ بیان کٔرِتھ۔
2322,They defined the powers of the judge.,تِمو کٔرۍ جج سٕنٛدۍ اختیار واضح۔
2323,The powers of a judge are defined in the constitution.,جج سٕنٛدۍ اختیارات چھِ ٲیٖنس منٛز بیان کرنہٕ آمٕتۍ۔
2324,He explained everything in a definite way.,تٔمۍ کوٚر پرٛٮ۪تھ کانٛہہ چیٖز خاص انٛدازس منٛز بیان۔
2325,He will definitely come to receive her at the airport.,سُہ یی ضروٗر تس ہوٲیی اڈس پٮ۪ٹھ اِستقبال کرنہِ۔
2327,He defined his views definitely.,تٔمۍ کٔر ۍ واضح طور پنٕنۍ خیالات بیان۔
2328,Can you give definition of this word?,تُہۍ ہیٚکوٕ مےٚ ییٚمہِ لفظٕچ وضاحت دِتھ؟
2329,The definition of a skilled writer is his ability to use appropriate words.,أکِس مٲہِر لکھٲرۍ سٕنٛز تعریٖف چھےٚ تٔمۍ سُنٛد منٲسِب لفظن ہُنٛد اِستعمال کرنٕچ صلٲحیت۔
2330,The television he bought has a good definition.,یُس تٔمۍ ٹی وی اوٚن تتھ چُھ جان معیار۔
2331,His plan is to get a degree in economics and then work abroad.,تٔمۍ سُنٛد منصوٗبہٕ چُھ معاشِیاتس منٛز ڈِگری حٲصِل کرٕنۍ تہٕ پتہٕ بیٖروٗنی مُلکس منٛز کٲم کرٕنۍ۔
2332,He is honest to a degree.,سُہ چُھ أکِس حدس تانۍ ایٖماندار۔
2337,Aslam was delegated to the Internaional Conference by his Institute.,اسلم اوس پنٕنۍ ادارن بین الاقوامی کانفرنس منٛز بطورِ نُمٲیِنٛدٕ سوٗزمُت۔
2338,There was a deliberate attempt to create mess.,فساد تُلنٕچ ٲس امدَن کوٗشِش۔
2339,You can take time to deliberate.,تُہۍ ہیٚکِو غور کرنہٕ خٲطرٕ وقت نِتھ۔
2340,They deliberated over the issue for full two hours.,تِمو کوٚر معاملس پیٚٹھ پوٗرٕ دۄن گٲنٛٹن بحژ۔
2342,She is known for her delicacy.,سۄ چھےٚ پنٛنہِ نزاکت خٲطرٕ مانٛنہٕ یِوان۔
2343,Babies have very delicate skin.,بچن ہِنٛز ژم چھےٚ واریاہ نوزُک آسان۔
2344,The delicate carvings on the temple walls are very impressive.,مندر چٮ۪ن لبن پٮ۪ٹھ زٲوِج نقٲشی چھےٚ واریاہ مُتٲثِر کروٕنۍ۔
2345,The eye surgery is very delicate.,أچھ ہِنٛز جرٲحی چھےٚ واریاہ ٲوِج آسان۔
2346,His delight to see her was quite obvious.,تٔمِس وٕچِھتھ تٔمۍ سٕنٛز خوشی ٲس بِلکُل واضح۔
2348,Her delighted smile made him forget all his sorrows.,تٔمۍ سٕنٛدِ خۄشونہِ اسنہٕ سۭتۍ گٔیہِ تس سٲری غم مٔشِد۔
2349,The comedy was delightful.,مزاحیہ اوس خۄشوُن۔
2350,The postman comes to deliver the letters.,ڈاکہٕ وول چُھ چِٹھِ تراونہِ یِوان۔
2351,The lecture was delivered by a well known scholar.,بیان اوس أکۍ مشہوٗر عٲلِمن دیُتمُت۔
2352,She delivered twins at the hospital.,تٔمِس زایہِ شفاخانس منٛز دُچہِ۔
2357,She went to the hospital for her delivery.,سۄ ٲس پرٛیٚسنہٕ خٲطرٕ شفا خانس منٛز گٔمٕژ۔
2358,Her delivery of Hindi is very poor.,تٔمۍ سُنٛد ہِنٛدی بولنُک طٔریٖقہٕ چُھ واریاہ خراب۔
2359,The delivery van came with the parcels.,سامان واتناون واجیٚنۍ وین آیہِ پارسَل ہٮ۪تھ۔
2360,Every demand of a child should not be fulfilled.,بچہٕ سٕنٛز پرٛٮ۪تھ کانٛہہ منٛگ گژھِ نہٕ پوٗرٕ کرٕنۍ۔
2361,Women demand for their participation in the Board.,زنانہٕ چھےٚ بورڈس منٛز پنٛنہِ شِرکت خٲطرٕ مُطالبہٕ کران۔
2362,Child rearing demands a lot of patience.,بچہٕ رچُھن چُھ واریاہ صبرُک تقاضہٕ کران۔
2363,Her job is very demanding.,تٔمۍ سٕنٛز نوکری چھےٚ واریاہ مُشکِل۔
2364,Demarcate the boundaries of the plot with lime.,زمیٖنہٕ ٹُکرٕچ حد بنٛدی کٔرِو چوٗنہٕ سۭتۍ۔
2365,Democracy is the government represented by people.,جمہوٗریت چھےٚ سۄ حکوٗمت ییٚمِچ نُماینٛدگی عوام چُھ کران۔
2366,This is a big step forward for democracy.,یہِ چُھ جمہوریت خٲطرٕ اکھ بوٚڑ قدم۔
2368,These figures clearly demonstrate the economic status.,یِم اعداد و شمار چھِ صاف پٲٹھۍ معٲشی حیثیت ظٲہِر کران۔
2369,I will demonstrate some of the difficulties we are facing.,بہٕ سمجاوٕ کیٚنٛہہ مُشکِلات یِمن ہُنٛد أسۍ مُقابلہٕ چھِ کران۔
2370,The demonstration lasted for an hour.,ہاونٕچ عمل روٗز أکِس گٲنٛٹس تانۍ جٲری۔
2371,Dengue is a dangerous disease.,ڈینگوٗ چھےٚ اکھ خطرناک بٮ۪مٲرۍ۔
2372,Her denial of my advice hurts me.,میٛٲنِس مشوَرس تٔمۍ سُنٛد اِنٛکار چُھ مےٚ دِلس لگان۔
2374,Which denomination of the bill will you be paying?,بِلہِ ہُنٛد کُس رقم کٔرِو تُہۍ ادا؟
2375,You should denounce oppression.,ژےٚ پزی ظُلمٕچ مذمت کرٕنۍ۔
2378,One cannot deny the truth.,حقیٖقتس ہیٚکہِ نہٕ کانٛہہ تہِ اِنکار کٔرِتھ۔
2380,The linguistics department is near the front gate.,شعبہ لِسنیات چُھ بروٚنٛہمِس گیٹس نِشی۔
2381,I will call you before our departure from the station.,بہٕ کَرَے ژےٚ سٹیشن پٮ۪ٹھٕ پنٛنہِ روانگی بروٚنہہ فون۔
2382,They depend on their son for their livelihood.,تِم چھِ روزی خٲطرٕ پنٛنِس نیٚچوِس ماتحت۔
2385,The final decision is dependent on her verdict.,ٲخری فٲصلہٕ چُھ تٔمۍ سٕنٛدِس فٲصلس ماتحت۔
2386,Merely deploring the increasing incidents of violence in the valley is not enough.,وادی منٛز تشدد کٮ۪ن واقعاتن ہِنٛدِس بڑنس پٮ۪ٹھ مذمتٕے یٲژ کرٕنۍ چھےٚ نہٕ سیٚٹھا۔
2387,The troops have been deployed along the border.,فوجی آیہِ سرحدس انٛدٕ ونٛدٕ تعینات کرنہٕ۔
2388,We need to make slight depression near the well.,اسہِ چُھ کیٖرِس نِش تھوڑا دۄب ہیوٗ بناونٕچ ضروٗرت۔
2389,She suffered from severe depression after losing her job.,نوکری اتھٕ گژھنہٕ پتہٕ گٔیہٕ سۄ سخٕت دِل مٔلوٗلی ہِنٛز شِکار۔
2391,The depth of emotions is unimaginable.,جذباتن ہُنٛد سرٛنٮ۪ر چُھ ناقٲبلہِ تصوُر۔
2392,They shifted to the new house in the depth of winter.,تِم گٔیہٕ ونٛدٕ کِس شِدَتس منٛز نٔیِس مکانس منٛز۔
2393,I'm acting as deputy till the headmaster returns.,ہیٚڈ ماسٹر سٕنٛدِس واپس یِنَس تانۍ چُھس بہٕ نٲیِب سٕنٛدِس طورس پیٚٹھ کٲم کران۔
2394,He has been elevated to deputy manager.,سُہ چُھ ترقی دِتھ نٲیِب منظم بناونہٕ آمُت۔
2395,She derives great pleasure from reading.,سۄ چھےٚ پرنہٕ سۭتۍ واریاہ سکوٗن حٲصِل کران۔
2396,The present name is derived from an older form.,موجوٗدٕ ناو چُھ اکہِ پرانہِ ناوٕ منٛزٕ کڑنہٕ آمُت۔
2397,They descended from the stairs carefully.,تِم ؤتھۍ ہیرن احتیاط سان۔
2398,He described the acccident elaborately.,تٔمۍ کوٚر حٲدثہٕ وضاحت سان بیان۔
2399,She describes herself as a preacher.,سۄ چھِ پنُن تعارُف أکِس مبلغ سٕنٛز حیثیت دِوان
2400,The child described a perfect circle on the sand.,بچن بنوو سیٚکہِ پٮ۪ٹھ اکھ مکمل گول
2401,The description of the event was reported on the newspaper.,امہِ واقعٕچ وضاحت آیہِ اخبارس منٛز شایع کرنہٕ
2402,The boats of all description were tied along the bank.,پرٛٮ۪تھ کُنہِ قٕسمٕچہِ ناوٕ آسہٕ بٔٹھِس سۭتۍ گٔنٛڈِتھ
2403,The descriptive variable is missing from the sentence.,جُملہٕ منٛز چُھ توصیٖفی متغیر غٲب
2404,The desegregation of the company is not advisable at this stage.,کمپنی ہُنٛد یکجُت چُھنہٕ یتھ سٹیجس پٮ۪ٹھ مُمکِن
2405,Deserts have a serene aura at sunset.,ریگستانس منٛز چُھ آفتاب لوسن وِزِ اکھ پُرسکوٗن احساس آسان
2406,The park was deserted towards the evening.,شامن ٲس پارکہِ منٛز دٕہۍ ژھٮ۪تَے
2407,The soldier deserted the country.,سپاہن تروو مُلک
2408,I think I deserve a reward for my work.,مےٚ چُھ باسان میٲنۍ کٲم چھِ قٲبلہِ انعام
2410,The design of the trip was altered altogether.,سفرُک خاکہٕ اوس مکمل پٲٹھۍ بدلاونہٕ آمُت
2411,He contributed majorly in the new design of the instrument.,آلُک نقشہِ بناونس منٛز کوٚر تٔمۍ اہم کِردار ادا
2412,The curtains had beautiful designs on the borders.,پردن اوس دٔنٛدرن نِشہِ خوٗبصوٗرت نموٗنہٕ بنٲوِتھ
2413,He holds no good designs for future.,تٔمِس چُھنہٕ مُستقبِل خٲطرٕ کانٛہہ جان منصوٗبہٕ
2414,We need to design a better work schedule.,اسہِ پزِ کامہِ ہُنٛد اکھ بہتر شیٚڈوٗل بناوُن
2415,She designed good excuse for her absence from the class.,تمہِ بنوو کلاس منٛز غٲر حٲضِر روزنہٕ خٲطرٕ اکھ جان بہانہٕ
2417,The courtyard was designated as pollution free area.,آنٛگُن آو آلوٗدگی نِشہِ پاک جاے قرار دِنہٕ
2418,Ram was designated as the Police Chief.,رام اوس بحیثیت پولیٖس چیٖف نام زَد کرنہٕ آمُت
2419,Hari is a textile designer.,ۂری چُھ کپُر ک نقشہٕ بناون وول
2420,Ram got the desirable job.,رامس میٖج پسنٛدیٖدٕ نوکری
2421,He has strong desire to leave the country.,تٔمِس چھِ سخت خٲہِش ملک ترٲونٕچ
2422,She was his heart`s desire.,سۄ ٲس تس دِلی خٲہِش
2423,We desire for a peaceful life.,اسہِ چھِ اکہِ امن پسنٛد ملکٕچ حسرت
2424,This desk is too small.,یہِ میز چُھ واریاہ لۄکُٹ
2426,They began to despair of ever being rescued.,تِم ٲس زانٛہہ ناوۄمید گٔمٕتۍ زِ زانٛہہ ی،نۍ تِم بچاونہٕ
2427,He is desperate to plea for help.,سُہ چُھ بےٚتاب مدد منٛگنہٕ خٲطرٕ
2428,He is desperate to his friends.,تٔمِس چُھ دوستن ہُنٛد امارٕ
2429,He is waiting desperately to see her.,سُہ چُھ بےٚتٲبی سان تٔمِس وُچھنس پیاران
2430,They enjoyed the picnic despite the bad weather.,تِمن لوٚگ خراب موسم آسنہٕ باوجوٗد پِکنکَس مزٕ
2432,She managed to catch the flight despite being late.,ژیر گژھنہٕ باوجوٗد تہِ روٚٹ تمہِ جہازٕ
2433,One can just believe in destiny.,انسان ہٮ۪کہِ صِرِف تقدیٖرس پٮ۪ٹھ بروسہٕ کٔرِتھ
2435,The thieves destroyed the barking dog.,ژوٗرو مور وۄروُن ہوٗن
2436,The flood did considerable destruction to the crops.,سہلابن کٔر فصلس کٲفۍ تبٲہی
2437,The flood caused lot of destruction in the village.,سہلابن کٔر گامس واریاہ تبٲہی
2438,He proposed a policy quite destructive to the economy.,تٔمۍ کٔر سۄ پالسی واضح یۄسہٕ معٲشیت خٲطرٕ تباہ کُن چھےٚ
2439,I want full details of the meeting.,مےٚ دِ میٖٹنٛگ ہٕنٛز پوٗرٕ تفصیٖل
2440,Many details are missing from the document.,دستاویز منٛز چھِ واریاہ تفصیٖل غٲر موٗجوٗد
2441,A detail was sent to clear off the fallen trees.,پیٚمٕتۍ کُلۍ تُلنہٕ خٲطرٕ آیہِ واریاہ تفصیٖل سوزنہٕ
2442,The brochure details the operations of the machine.,برٛوشرس منٛز چھِ مشیٖنہِ چلاونہچہِ دٔلیٖل دِتھ
2444,A detailed plan was chalked out to free the captives.,اکھ تفصیٖلی پلان آو جنٛگی قٲدی رِہا کرنہٕ خٲطرٕ بناونہٕ
2445,They detected high level of lead in the drinking water.,تِمو وُچھ آبس منٛز لیڈ واریاہ تعدادس منٛز موٗجوٗد
2446,I enjoy reading detective novels.,مےٚ چھِ جاسوٗسی ناولہٕ پرنہِ خۄش کران
2447,We appointed an efficient detective to solve the case.,اسہِ کٔر أکِس قٲبِل جاسوٗس سٕنٛز تقرری یہِ کیس حل کرنہٕ خٲطرٕ
2448,I need detergent to wash the dishes.,مےٚ چھِ ڈِٹرجنٛٹ ضروٗرت بانہٕ چھلنہٕ خٲطرٕ
2449,The political situation deteriorated after the collapse of the government.,سرکار پٮ۪نہٕ پتہٕ گٔیہِ سیٲسی حالات ابتر
2451,It can determine your further prospectus.,یہِ کرِ چانہِ مزیٖد پراسپیکٹسُک فٲصلہٕ
2455,USA is a developed country.,امیٖکا چُھ اکھ ترقی یافتہٕ ملک
2456,India is a developing country.,ہنٛدوستان چُھ اکھ ترقی پزیٖر ملک
2457,The new scheme for the development of villages is constructive.,گامن ہٕنٛزِ ترقی خٲطرٕ چھِ نٔو سِکیٖم تعمیٖر کُن
2458,The deviation from the party is seen as betrayal.,پارٹی نِشہِ انحراف چُھ یوان غدٲری ماننہٕ
2459,The minister was accused of deviation from the party code.,منسٹرس اوس پارٹی کوڈ نِشہِ انحرافُک الزام دِنہٕ آمُت
2460,India has developed its own nuclear device.,ہنٛدوستانن چُھ پنُن بمٛب بنوومُت
2461,The poet has a distinct device of metaphorical expression.,شٲعرس چُھ پنُن اکھ مُنفرد استعارٲتی اظہارُک طٔریٖقہٕ آسان
2462,His kids are little devils.,تٔمِس چھِ بچہِ شیطان
2464,I devote a lot of time to my studies.,بہٕ چھس واریاہ وقت پننس پرنس وقف کران
2466,He is a devoted husband.,سُہ چُھ وفادار خاندار
2467,He has no devotion towards his family.,سُہ چُھنہٕ پننِس عیالس خٲطرٕ جان نثار
2468,We need to measure the diameter of the round window.,اسہِ پزِ گول دارِ ہُنٛد قطرٕ مینُن
2471,He is a dictator by nature.,سُہ چُھ مِزازٕ کِنۍ اکھ تاناشاہ۔
2473,She died from cancer.,سۄ مۄیہِ کیٚنسر سۭتۍ۔
2474,Each one must take healthy diet.,پرٛٮ۪تھ أکِس پزِ جان غذا کھیوٚن۔
2475,My views differ from my father's .,میٛٲنِۍ خیالات چھِ میٛٲنِس مٲلۍ سٕنٛدیو خیالاتو کھۄتہٕ الگ۔
2476,There is a lot of difference between these two sisters.,یِمن دۄن بیٚنیٚن منٛز چھےٚ واریاہ فرق۔
2477,Both of them took different approaches to the problem.,یِمو دۄشوٕیو رٔٹی مسلس خٲطرٕ الگ طریٖقہٕ۔
2479,They looked at the problem differently.,تِمو چوُچھ مسلہٕ مُختلف پٲٹھۍ۔
2480,This is a very difficult task.,یہِ چُھےٚ واریاہ مُشکِل کٲم۔
2481,There are lot of difficulties in framing this proposal.,یہِ منصوٗبہٕ تیار کرنس منٛز چھےٚ واریاہ سختِیہٕ۔
2483,The archeaologist carefully filled the dig with plaster.,مٲہرِ آثاریاتن بٔر احتیاط سان کٔھنۍمٕژ جاے پلستر سۭتۍ۔
2484,They began to dig the ground.,تِمو ہیوٚت زمیٖن کھنُن۔
2486,You have put me in dilemma.,ژےٚ چُھ تھس بہٕ دُلمُلس منٛز ترٛوومُت۔
2487,The lamp threw out a dim light.,بٔتۍ ٲس گوٚٹ گاش دِوان۔
2489,The refugee problem has added a new dimension to the border conflict.,مُہٲجِرن ہِنٛدۍ مسلن چُھ سرحدی تناعزس منٛز اکہِ نوِ پہلوٗوُک اضافہٕ کوٚرمُت۔
2490,We dined in at a hotel.,اسہِ کھیوو أکِس ہوٹلس منٛز کھیٚن۔
2491,Dinner is served from 7:30 pm in the hostel.,ہوسٹَلس منٛز چُھ شامس 7:30 بجہِ پیٚٹھٕ شامُک بتہٕ دِنہٕ یِوان۔
2492,I dipped my pen into the inkpot.,مےٚ بٔڑروو پنُن قلم میٖلہِ منٛز۔
2493,The price of gold has dipped in the past days.,پٔتِمیٚن دۄہن منٛز چُھ سۄنُک قۭمت کم گوٚمُت۔
2494,The land dips towards the south.,زمیٖن چُھ جنوٗبس کُن وسان۔
2495,There was a slight dip in petrol price this week.,ییمہِ ہفتہٕ آیہِ پیٚٹرول کِس قۭمتس منٛز رژھا کٔمی۔
2496,Diplomacy has failed to meet its ends.,سِفارت کٲری چھےٚ پنٕنۍ مقصد پوٗرٕ کرنس منٛز ناکام گٔمٕژ۔
2497,He used diplomacy to persuade her for this act.,تٔمۍ کٔر سۄ ییٚمہِ کامہِ باپتھ تیار کرنہٕ خٲطرٕ ژۄیہِ ہُنٛد استعمال۔
2498,A number of foreign diplomats participated in the function.,واریاہو غٲر مُلکی سِفارت کارو کٔر تقریٖبہِ منٛز شِرکت۔
2499,Their diplomatic efforts could not help to pacify the anger.,تِہِنٛزو سِفارتی کوٗشِشو ہیوٚک نہٕ شرارت کم کرنس منٛز مدد کٔرِتھ۔
2500,You may ask direct questions on the issue.,تُہۍہیٚکِو یتھ مسلس پیٚٹھ سیوٚد سوال پرٛژِھتھ۔
2501,I directed them towards the road.,مےٚ ہٲو تِمن سڑکہِ کُن وتھ۔
2502,He took a turn in the right direction.,تٔمۍ کوٚر صحیٖح طرفس کُن موڑ۔
2504,He directly asked her if she can marry him.,تٔمۍ پرٛژھ تٔمِس سیوٚد زِ سۄ ہیٚکیا تٔمِس سۭتۍ خانٛدر کٔرِتھ۔
2506,Satyajit Ray is a well-known film director.,ستیاجیت رے چُھ اکھ مشہوٗر فِلمی ہِدایت کار۔
2507,There is lot of dirt in the room.,کُٹِھس منٛز چھےٚ واریاہ گنٛدگی۔
2508,He was wearing a dirty shirt yesterday.,راتھ ٲس تٔمِس مٔکٕر قمیٖض لٲگِتھ۔
2509,The moon disappeared behind the cloud.,زوٗن گٔیہٕ اوٚبرس پتہٕ کنہِ غٲب۔
2512,The disapproval caused him immense disappointment.,نامنظوٗری کِنۍ گٔیہٕ تٔمِس واریاہ مایوٗسی۔
2513,There is a widespread disapproval of government policies.,حُکومتی حِکمت عملِین چھےٚ بٔڑِس پیمانس پیٚٹھ نامنظوٗری۔
2514,The criminals were disarmed before leaving for the court.,عدالت گژھنہٕ برٛونٛہہ آیہِ مُلزِمن ۂتھیار نِنہٕ۔
2515,Their marriage is going to be sheer disaster.,تِہُِنٛد خانٛدر آسہِ بِلکُل مُصیٖبت۔
2516,A major train disaster was averted in Punjab.,پنٛجابس منٛز آو ریلہِ ہُنٛد اکھ بوڈ حٲدثہٕ ٹالنہٕ۔
2517,The economic position of the country is disastrous.,مُلکٕچ مٲلی حالات چھےٚ تباہ کُن۔
2518,I was discharged from the hospital today.,مےٚ آیہِ آز شفا خانہٕ پیٚٹھٕ چُھٹی دِنہٕ۔
2519,Students do not maintain discipline anymore.,طٲلبہِ عٔلِم چھِ نہٕ وۄنۍ تہزیٖب برقرار تھاوان۔
2520,He is teaching in the humanities discipline.,سُہ چُھ ساینس کِس شعبس منٛز پرناوان۔
2521,Parents must discipline their children.,مٲلِس ماجہِ پزِ پنٛنیٚن شُریٚن تہزیٖب دیُن۔
2522,He does not want to disclose his secret.,سُہ چُھ نہٕ یژھان پنُن راز ظٲہِر کرُن۔
2523,We should discourage smoking among youth.,اسہِ پزِ نوجوانن منٛز سِگریٹ چیٚنٕچ ہٮ۪متھ پٕھٹراوٕنۍ۔
2524,I faced discouragement from my family when I took up to modelling.,ییٚلہِ مےٚ ماڈلِنٛگ شُروٗع کٔر مےٚ میلییہِ پنٛنہِ خانٛدان کہِ طرفہٕ پس ہمتی۔
2525,Columbus discovered America in 1492.,کولمبسن کوٚر 1492 تس منٛز امریکہ دریافت۔
2526,Discovery of electricity was a breakthrough in history.,بِجلی ہِنٛز دریافت ٲس توٲریٖخس منٛز اکھ بٔڑ کامیٲبی۔
2527,He divided the share at his discretion.,تٔمۍ کوٚر پنٛنہِ مرضی پیٚٹھ حِصہٕ تقسیٖم۔
2528,There is still discrimination between a girl-child and a boy-child in our society.,سٲنِس سماجس منٛز چُھ وٕنہِ تہِ لڑکس تہٕ کورِ منٛز فرق کرنہٕ یِوان۔
2529,We discussed our household expenditure at length.,اسہِ کوٚر پنٛنِس گَریلو خرچس پیٚٹھ زیوٗٹھ بحژ۔
2531,He is suffering from an incurable disease.,تٔمِس چھےٚ اکھ لاعلاج بیٚمٲرۍ۔
2533,I prefer vegetarian dishes.,بہٕ چُھس سبزی ہِنٛدیٚن سِنیٚن ترجیٖح دِوان۔
2534,I lost my new disk.,مےٚ رٲو پنٕنۍ نٔو ڈِسک۔
2535,My dislike for him was instinctive.,تٔمۍ سٕنٛدِ خٲطرٕ میٛٲنۍ ناپسنٛدی ٲس ذٲتی ۔
2536,I really dislike his attitude.,بہٕ چُھس پٔزۍ پٲٹھۍ تٔمۍ سُنٛد طور طریٖقہٕ ناپسنٛد کران۔
2537,The wind dislodged the tiles from the roof.,ہَوہن تُلۍ ٹٲل چھتہٕ پیٚٹھٕ تھوٚد۔
2538,He was dismissed from the party on charges of corruption.,سُہ اوس رشوت خوری ہِنٛدِس اِلزامس پیٚٹھ جمٲعژ منٛز کڑنہٕ آمُت۔
2539,The refugees were displaced due to the war threats.,جنٛگی خطرو کِنۍ آیہِ مُہٲجِر ژلراونہٕ۔
2540,Weeds displace vegetables and plants.,کچھ چھِ سبزِین تہٕ کُلۍ کٹیٚن ہِنٛز جاے رٹان۔
2541,The displacement of tribals has created furore.,قبٲیلو ہِنٛزِ ہِجرت سۭتۍ چُھ ہنٛگامہٕ کھڑا گوٚمُت۔
2542,His photograph was displayed on the national newspaper.,تٔمۍ سٕنٛز تصویٖر آیہِ قومی اخبارس منٛز ہاونہٕ۔
