ID,sentence,Usage
1473,They don't buy clothes that are made up of nylon fibres.,Public
1474,She had twins .,Public
1475,I'm getting used to the noise now.,Public
1476,The bird continued to warble.,Public
1477,Children undergo physiological changes.,Public
1478,The weather got very bad in the evening.,Public
1479,She was wearing a yellow dress with green patches on the flair.,Public
1480,I shall always be grateful to you for the kindness shown to me.,Public
1481,We have a test tomorrow.,Public
1482,I verily owe a great deal to her.,Public
1483,She has a medium height.,Public
1484,My torpid brother rests on the couch all day.,Public
1485,Let's sing the last verse again.,Public
1486,The discussion focused on three main problems.,Public
1487,There was a weariness in her voice.,Public
1488,We have different views.,Public
1489,He hailed his friend .,Public
1490,She is not coming now.,Public
1491,I lost my balance and fell backwards.,Public
1492,She is a maid.,Public
1493,The name plate of the main door was broken.,Public
1494,He was sitting on the river bank for a long time.,Public
1495,Little children are administered polio drops as a preventive measure.,Public
1496,I have to go to the market to buy some vegetables.,Public
1497,He did not deserve the vilification he had been subjected to.,Public
1498,Power outage plunged the area into darkness.,Public
1499,The massage helped to buffer the pain.,Public
1500,He died of a bowel obstruction.,Public
1501,We could see the score of the cricket match on the board.,Public
1502,He bought a new camera from HongKong.,Public
1503,"Medically, he is fit for travelling.",Public
1504,"Ugh, how hard it is!",Public
1505,Spread the white cloth on the table.,Public
1506,She emptied her cup of milk in one long draught.,Public
1507,You can come at your own convenience.,Public
1508,So you're theoretician?,Public
1509,The sky is blue in colour.,Public
1510,I married a voluptuous woman.,Public
1511,He thinks he would lose the face if he admits the mistake.,Public
1512,The animals were fleeting towards the meadow.,Public
1513,Some banks are operational even on holidays.,Public
1514,His vulgarisms embarrassed his family.,Public
1515,The thespian in the movie is a new comer.,Public
1516,There is a cosmic power governing in the universe.,Public
1517,One man's loss is another man's gain.,Public
1518,He has been named the captain of the team.,Public
1519,The final episode will be shown tomorrow.,Public
1520,The issue before us has to be discussed first.,Public
1521,He drives his car very fast.,Public
1522,The theory was utterly confusing for me.,Public
1523,Teddy bears are lovable toys.,Public
1524,I shouldn't have drunk this much.,Public
1525,He's not a violent person.,Public
1526,In my view it was a waste of time.,Public
1527,He was whistling as he walked down the street.,Public
1528,The long climb completely winded us.,Public
1529,My grandfather told me an amusing story.,Public
1530,They often think alike.,Public
1531,The campaign was designed to increase public awareness of the problem.,Public
1532,Use of weapons should be banned.,Public
1533,His books were wantonly destroyed.,Public
1534,It's totally not fair.,Public
1535,The specified destination is not reachable.,Public
1536,Aslam`s father is a chandler.,Public
1537,I will go to Delhi by train.,Public
1538,Do you have any book on astronomy?,Public
1539,The objective report was not appreciated.,Public
1540,He is not mentally fit.,Public
1541,His bat was grounded.,Public
1542,Winter is severe in the north.,Public
1543,The company has advanced a new policy.,Public
1544,There was a long queue at the post office.,Public
1545,I don't discuss private matters with my collegues.,Public
1546,We went there on his death anniversary.,Public
1547,Let's go and attend the performance of the singer.,Public
1548,I have fifty names on the list.,Public
1549,I am very glad to see you.,Public
1550,He has presented critical reviews of the present educational system.,Public
1551,Her pose for the photo was the best.,Public
1552,He is a farmer.,Public
1553,The letter came in the mail today.,Public
1554,We sat outside in the sun.,Public
1555,Maryam snatched his letters and pocketed them.,Public
1556,He often goes to the exclusive restaurants.,Public
1557,This food contains essential vitamins and minerals.,Public
1558,There are four rooms and a hall in his house .,Public
1559,"Be always brave and truthful, said his father.",Public
1560,He waited at the bus stop.,Public
1561,Thank you for taking care of the kids.,Public
1562,The next programme will be broadcasted presently.,Public
1563,I have a credit balance of Rs.1000.,Public
1564,She launched a vitriolic attack against us.,Public
1565,Perhaps I may not attend the class tomorrow.,Public
1566,Oxygen is the gas we breathe.,Public
1567,The event changed the trend of public opinion.,Public
1568,He arranged a trip to please his son.,Public
1569,Three is an odd number.,Public
1570,We welded the beams together.,Public
1571,He has planted a mimosa tree in middle of the park.,Public
1572,She is a nice little girl.,Public
1573,They are willing to come.,Public
1574,It's not a big deal.,Public
1575,Lately a vexing problem had grown worse.,Public
1576,He started the project work with great determination.,Public
1577,A curious man appeared on the gate.,Public
1578,You should not delay the action further.,Public
1579,I want only one chocolate.,Public
1580,I could not avoid hitting the car.,Public
1581,The wrestler floored the opponent by a single punch.,Public
1582,He is my dear son.,Public
1583,Beautiful flowers fronted the fence.,Public
1584,There is a large concentration of army on the borders.,Public
1585,The board of directors drafted a new policy.,Public
1586,Her heart is weak .,Public
1587,They entered his tent.,Public
1588,The washing machine has a heavy motor.,Public
1589,Their relationship was based on mutual trust.,Public
1590,She is feeling nauseous.,Public
1591,She is at an advantage for her knowledge of different languages.,Public
1592,The girl carries the pitcher home.,Public
1593,You can take the book which is on the table.,Public
1594,She was there to welcome him.,Public
1595,He has to scrub ointment on legs.,Public
1596,This design is very fascinating.,Public
1597,I saw a fox in the bushes.,Public
1598,Her room number is ninteen.,Public
1599,"A tsunami is coming, so please be on the alert.",Public
1600,Kabir is interested to participate in philosophical discussions.,Public
1601,He likes all types of books.,Public
1602,The employees are demanding wage increase.,Public
1603,The handle of my bag has come loose.,Public
1604,This fabric possesses a netted texture.,Public
1605,"On heating, the glass cracked.",Public
1606,He belongs to a good family.,Public
1607,I was assured that these terms shall be implemented soon.,Public
1608,I'll call for you at three.,Public
1609,The fifth chapter of the book is actually the meat of the author's argument.,Public
1610,Electrons are found in atoms.,Public
1611,These belong to crustacean species.,Public
1612,The doctor prescribed some pills to help me to sleep.,Public
1613,The arrow hit him full in the right eye.,Public
1614,They are trying to domesticate the dogs.,Public
1615,This kettle needs a new element.,Public
1616,I called him three times but he did not recieve.,Public
1617,It's the fourth season of the year.,Public
1618,I charge you not to go.,Public
1619,He tolerates no evil.,Public
1620,He is a crack soldier.,Public
1621,I'll wander in the market for half an hour.,Public
1622,We have to tackle the fundamental cause of the problem.,Public
1623,Today's football match is France versus Brazil.,Public
1624,I could see a sudden flash of light in the dark.,Public
1625,Students were filing towards the class room.,Public
1626,I enjoyed a good orchestra in the marriage function.,Public
1627,Drive the nails slowly into a plank.,Public
1628,The police had a warrant for his arrest.,Public
1629,We have to take this step to keep our bussiness viable.,Public
1630,His story was quite painful.,Public
1631,There were masses of people at the funeral.,Public
1632,The whole country is in ferment.,Public
1633,After several years in Hyderabad he was posted to Delhi.,Public
1634,I went there walking.,Public
1635,The building looked magnificent with high arches.,Public
1636,He has gone for vesper prayer.,Public
1637,Most deals are transacted over the phone.,Public
1638,That gun has a long bore.,Public
1639,What you say is partly right.,Public
1640,There is a wide gulf between the rich and the poor.,Public
1641,The cold air made her face tingle.,Public
1642,Par for the course is 62.,Public
1643,We can have a cup of tea in the cafeteria.,Public
1644,It is pleasant to watch the waves in the sea.,Public
1645,The political parties started their propaganda in full swing before the elections.,Public
1646,He has become my deadly enemy.,Public
1647,I need to fix my bicycle.,Public
1648,That old temple is hidden among trees.,Public
1649,He plays violin in his free time.,Public
1650,Over 70 percent of the families in this area own a telephone.,Public
1651,"It consisted of currants, dates and sultanas.",Public
1652,Your basic qualification is apt for this job.,Public
1653,He was viciously attacked and suffered head injuries.,Public
1654,It was an abrupt action.,Public
1655,Your attitude towards the work is not appropriate.,Public
1656,You can order the cake over the telephone.,Public
1657,These flowers are beautiful,Public
1658,I have a happy home life.,Public
1659,The small nick in the cloth became big.,Public
1660,There seems to be no acceleration in their economic growth.,Public
1661,He dishonored her in front of everyone.,Public
1662,I like to roam around the fields.,Public
1663,She is a model.,Public
1664,He is weak to be a commander.,Public
1665,The patient was whining all afternoon.,Public
1666,You have to win the match.,Public
1667,There is a differential salary structure in this project.,Public
1668,He exhibits a sense of propriety.,Public
1669,They partied before their parents returned home.,Public
1670,Take whichever dress suits you best.,Public
1671,It was a minute particle but hurt the eye badly.,Public
1672,He leaned out of the window.,Public
1673,He runs the business in a profitable manner.,Public
1674,Our assets are fluid.,Public
1675,For me he is a real throwback.,Public
1676,He pointed towards the broken window.,Public
1677,A penetrating cry was heard from neighbour's house.,Public
1678,He was bitterly disappointed.,Public
1679,He is staying in North London.,Public
1680,She comes late usually.,Public
1681,They want to perform the drama in an open auditorium.,Public
1682,Can you mend this broken chair?,Public
1683,They'll very likely come by car.,Public
1684,Is your allergy getting better?,Public
1685,Women commit fewer crimes than men.,Public
1686,That country supports all the countries which are neutral.,Public
1687,The thief jumped on the rampart.,Public
1688,The child has a great faculty for learning new languages.,Public
1689,That boy joined the navy.,Public
1690,Women make beautiful pots from black clay.,Public
1691,He is a mad person.,Public
1692,Your voice is breaking on the phone.,Public
1693,My old friend was a virtuoso in music.,Public
1694,The plan was originally quite different.,Public
1695,This is a virgin land.,Public
1696,He connected the bulb with a bent wire.,Public
1697,These birds breed in spring.,Public
1698,The driver curved suddenly to the right.,Public
1699,He is wearing a vest under a shirt.,Public
1700,The examiner was very nice.,Public
1701,Her dress was a vivid colour.,Public
1702,There is a formula to solve this problem.,Public
1703,He is of strong build with long hair.,Public
1704,She kept the dead body on the mat.,Public
1705,I am eating rice,Public
1706,His object was to hurt you.,Public
1707,The fire destroyed the house.,Public
1708,A conference was held in the University.,Public
1709,He carried on his work amidst disruption.,Public
1710,He's a vile person!,Public
1711,It is obvious that he hates her.,Public
1712,"After the loss of her loved ones, she felt a void in her heart",Public
1713,He has reached the finals in the match.,Public
1714,The company had a turnover of 38 lakhs.,Public
1715,I'm taller than you.,Public
1716,I want to do this job.,Public
1717,His parents granted him permission to play.,Public
1718,He lost all his cash in the game of dice.,Public
1719,My friend is very egotistic.,Public
1720,She was met with all her needs.,Public
1721,He is a well known trumpet player.,Public
1722,I like vocal music better than instrumental music.,Public
1723,"At 87, she is still full of vim and vigour.",Public
1724,This pen is hers.,Public
1725,This explanation is wanting in many questions.,Public
1726,They were loaded with arms.,Public
1727,I can take care of myself.,Public
1728,He is a volunteer.,Public
1729,Weasel has a long thin body with short legs.,Public
1730,He was drunk.,Public
